Drug1	Drug2	cell	synergy	fold
PACLITAXEL	SUNITINIB	A375	8.3475	2
SUNITINIB	BORTEZOMIB	A375	2.7225	3
SUNITINIB	DASATINIB	A375	14.285	3
SUNITINIB	ERLOTINIB	A375	7.29	3
SUNITINIB	GELDANAMYCIN	A375	9.9425	1
SUNITINIB	LAPATINIB	A375	9.1225	4
SUNITINIB	SORAFENIB	A375	9.525	3
SUNITINIB	TOPOTECAN	A375	2.1075	1
TOPOTECAN	SORAFENIB	A375	11.225	1
VINBLASTINE	BORTEZOMIB	A375	1.4525	0
VINBLASTINE	DASATINIB	A375	-0.4475	3
VINBLASTINE	ERLOTINIB	A375	9.4075	3
VINBLASTINE	GELDANAMYCIN	A375	4.5025	2
VINBLASTINE	LAPATINIB	A375	6.7325	1
VINBLASTINE	SORAFENIB	A375	11.075	0
VINBLASTINE	SUNITINIB	A375	0.17	3
VINORELBINE	BORTEZOMIB	A375	1.515	2
VINORELBINE	DASATINIB	A375	6.54	3
VINORELBINE	ERLOTINIB	A375	12.69	2
VINORELBINE	GELDANAMYCIN	A375	8.6425	4
VINORELBINE	LAPATINIB	A375	13.7925	0
VINORELBINE	SORAFENIB	A375	8.6825	3
VINORELBINE	SUNITINIB	A375	4.41	4
5-FU	BORTEZOMIB	CAOV3	1.1375	3
5-FU	DASATINIB	CAOV3	4.4575	2
5-FU	ERLOTINIB	CAOV3	-1.1275	4
5-FU	GELDANAMYCIN	CAOV3	1.09	2
5-FU	LAPATINIB	CAOV3	-1.61	0
5-FU	SORAFENIB	CAOV3	5.51	0
5-FU	SUNITINIB	CAOV3	10.085	0
BORTEZOMIB	DASATINIB	CAOV3	1.795	2
BORTEZOMIB	GELDANAMYCIN	CAOV3	3.9875	2
BORTEZOMIB	SORAFENIB	CAOV3	3.91	0
BORTEZOMIB	TOPOTECAN	CAOV3	5.7625	0
DASATINIB	GELDANAMYCIN	CAOV3	-4.565	1
DASATINIB	SORAFENIB	CAOV3	6.7125	0
DASATINIB	TOPOTECAN	CAOV3	2.89	1
DEXAMETHASONE	BORTEZOMIB	CAOV3	-5.1325	0
DEXAMETHASONE	DASATINIB	CAOV3	5.3275	1
DEXAMETHASONE	ERLOTINIB	CAOV3	-3.7175	3
DEXAMETHASONE	GELDANAMYCIN	CAOV3	-2.92	2
DEXAMETHASONE	LAPATINIB	CAOV3	5.6325	2
DEXAMETHASONE	SORAFENIB	CAOV3	11.0975	2
DEXAMETHASONE	SUNITINIB	CAOV3	-4.3175	3
DOXORUBICIN	BORTEZOMIB	CAOV3	0.2175	0
DOXORUBICIN	DASATINIB	CAOV3	0.9475	3
DOXORUBICIN	ERLOTINIB	CAOV3	0.125	2
DOXORUBICIN	GELDANAMYCIN	CAOV3	-1.35	1
DOXORUBICIN	LAPATINIB	CAOV3	6.675	2
DOXORUBICIN	SORAFENIB	CAOV3	-2.3	3
DOXORUBICIN	SUNITINIB	CAOV3	-1.97	0
ERLOTINIB	BORTEZOMIB	CAOV3	1.0425	2
ERLOTINIB	DASATINIB	CAOV3	-2.6875	0
ERLOTINIB	GELDANAMYCIN	CAOV3	4.61	2
ERLOTINIB	SORAFENIB	CAOV3	8.37	1
ERLOTINIB	TOPOTECAN	CAOV3	9.645	3
ETOPOSIDE	BORTEZOMIB	CAOV3	4.3175	0
ETOPOSIDE	DASATINIB	CAOV3	5.6375	0
ETOPOSIDE	ERLOTINIB	CAOV3	4.815	3
ETOPOSIDE	GELDANAMYCIN	CAOV3	6.0475	3
ETOPOSIDE	LAPATINIB	CAOV3	8.3425	4
ETOPOSIDE	SORAFENIB	CAOV3	7.22	1
ETOPOSIDE	SUNITINIB	CAOV3	5.26	3
GELDANAMYCIN	SORAFENIB	CAOV3	8.285	1
GELDANAMYCIN	TOPOTECAN	CAOV3	2.3775	4
GEMCITABINE	BORTEZOMIB	CAOV3	1.6575	2
GEMCITABINE	DASATINIB	CAOV3	-0.09	0
GEMCITABINE	ERLOTINIB	CAOV3	0.0225	3
GEMCITABINE	GELDANAMYCIN	CAOV3	-0.17	0
GEMCITABINE	LAPATINIB	CAOV3	2.6025	0
GEMCITABINE	SORAFENIB	CAOV3	-0.735	0
GEMCITABINE	SUNITINIB	CAOV3	1.7975	3
LAPATINIB	BORTEZOMIB	CAOV3	1.9975	0
LAPATINIB	DASATINIB	CAOV3	3.7375	2
LAPATINIB	ERLOTINIB	CAOV3	-3.0825	3
LAPATINIB	GELDANAMYCIN	CAOV3	8.405	4
LAPATINIB	SORAFENIB	CAOV3	9.415	0
LAPATINIB	TOPOTECAN	CAOV3	5.7925	1
METFORMIN	BORTEZOMIB	CAOV3	1.915	4
METFORMIN	DASATINIB	CAOV3	-0.485	3
METFORMIN	ERLOTINIB	CAOV3	-0.5225	3
METFORMIN	GELDANAMYCIN	CAOV3	2.565	0
METFORMIN	LAPATINIB	CAOV3	-3.8075	0
METFORMIN	SORAFENIB	CAOV3	7.535	2
METFORMIN	SUNITINIB	CAOV3	3.1675	4
METHOTREXATE	BORTEZOMIB	CAOV3	2.565	0
METHOTREXATE	DASATINIB	CAOV3	-7.365	4
METHOTREXATE	ERLOTINIB	CAOV3	-9.41	3
METHOTREXATE	GELDANAMYCIN	CAOV3	-0.8175	3
METHOTREXATE	LAPATINIB	CAOV3	-5.3675	3
METHOTREXATE	SORAFENIB	CAOV3	1.2725	4
METHOTREXATE	SUNITINIB	CAOV3	-4.515	1
PACLITAXEL	BORTEZOMIB	CAOV3	2.9075	0
PACLITAXEL	DASATINIB	CAOV3	0.23	0
PACLITAXEL	ERLOTINIB	CAOV3	1.3275	1
PACLITAXEL	GELDANAMYCIN	CAOV3	0.16	4
PACLITAXEL	LAPATINIB	CAOV3	7.1325	4
PACLITAXEL	SORAFENIB	CAOV3	2.2925	3
PACLITAXEL	SUNITINIB	CAOV3	0.47	4
SUNITINIB	BORTEZOMIB	CAOV3	4.66	3
SUNITINIB	DASATINIB	CAOV3	-2.7175	2
SUNITINIB	ERLOTINIB	CAOV3	-1.61	3
SUNITINIB	GELDANAMYCIN	CAOV3	9.065	1
SUNITINIB	LAPATINIB	CAOV3	9.74	2
SUNITINIB	SORAFENIB	CAOV3	4.355	3
SUNITINIB	TOPOTECAN	CAOV3	4.755	4
TOPOTECAN	SORAFENIB	CAOV3	7.755	0
VINBLASTINE	BORTEZOMIB	CAOV3	4.1575	0
VINBLASTINE	DASATINIB	CAOV3	-2.505	1
VINBLASTINE	ERLOTINIB	CAOV3	6.4625	2
VINBLASTINE	GELDANAMYCIN	CAOV3	2.83	1
VINBLASTINE	LAPATINIB	CAOV3	3.145	2
VINBLASTINE	SORAFENIB	CAOV3	7.5775	2
VINBLASTINE	SUNITINIB	CAOV3	1.815	2
VINORELBINE	BORTEZOMIB	CAOV3	2.5525	0
VINORELBINE	DASATINIB	CAOV3	-4.01	2
VINORELBINE	ERLOTINIB	CAOV3	0.765	0
VINORELBINE	GELDANAMYCIN	CAOV3	1.91	0
VINORELBINE	LAPATINIB	CAOV3	2.7675	0
VINORELBINE	SORAFENIB	CAOV3	1.855	0
VINORELBINE	SUNITINIB	CAOV3	-0.795	1
5-FU	BORTEZOMIB	COLO320	7.72	4
5-FU	DASATINIB	COLO320	5.1975	0
5-FU	ERLOTINIB	COLO320	3.96	4
5-FU	GELDANAMYCIN	COLO320	3.05	4
5-FU	LAPATINIB	COLO320	2.7075	1
5-FU	SORAFENIB	COLO320	-2.4225	3
5-FU	SUNITINIB	COLO320	6.7175	1
BORTEZOMIB	DASATINIB	COLO320	13.38	2
BORTEZOMIB	GELDANAMYCIN	COLO320	19.7325	2
BORTEZOMIB	SORAFENIB	COLO320	6.135	4
BORTEZOMIB	TOPOTECAN	COLO320	10.055	1
DASATINIB	GELDANAMYCIN	COLO320	4.4575	3
DASATINIB	SORAFENIB	COLO320	2.52	1
DASATINIB	TOPOTECAN	COLO320	2.4375	0
DEXAMETHASONE	BORTEZOMIB	COLO320	18.53	0
DEXAMETHASONE	DASATINIB	COLO320	2.9575	3
DEXAMETHASONE	ERLOTINIB	COLO320	3.33	0
DEXAMETHASONE	GELDANAMYCIN	COLO320	1.9725	0
DEXAMETHASONE	LAPATINIB	COLO320	4.3775	2
DEXAMETHASONE	SORAFENIB	COLO320	2.07	0
DEXAMETHASONE	SUNITINIB	COLO320	11.0825	4
DOXORUBICIN	BORTEZOMIB	COLO320	10.2525	3
DOXORUBICIN	DASATINIB	COLO320	12.815	4
DOXORUBICIN	ERLOTINIB	COLO320	-11.0325	4
DOXORUBICIN	GELDANAMYCIN	COLO320	4.1725	2
DOXORUBICIN	LAPATINIB	COLO320	4.1975	1
DOXORUBICIN	SORAFENIB	COLO320	-10.72	1
DOXORUBICIN	SUNITINIB	COLO320	1.15	2
ERLOTINIB	BORTEZOMIB	COLO320	13.12	2
ERLOTINIB	DASATINIB	COLO320	7.47	2
ERLOTINIB	GELDANAMYCIN	COLO320	3.755	1
ERLOTINIB	SORAFENIB	COLO320	-0.4275	3
ERLOTINIB	TOPOTECAN	COLO320	2.3525	1
ETOPOSIDE	BORTEZOMIB	COLO320	12.6875	4
ETOPOSIDE	DASATINIB	COLO320	0.13	1
ETOPOSIDE	ERLOTINIB	COLO320	3.8025	0
ETOPOSIDE	GELDANAMYCIN	COLO320	-0.675	1
ETOPOSIDE	LAPATINIB	COLO320	8.65	2
ETOPOSIDE	SORAFENIB	COLO320	-1.47	0
ETOPOSIDE	SUNITINIB	COLO320	6.58	2
GELDANAMYCIN	SORAFENIB	COLO320	1.5125	2
GELDANAMYCIN	TOPOTECAN	COLO320	4.8825	1
GEMCITABINE	BORTEZOMIB	COLO320	14.2025	3
GEMCITABINE	DASATINIB	COLO320	21.1325	4
GEMCITABINE	ERLOTINIB	COLO320	5.97	2
GEMCITABINE	GELDANAMYCIN	COLO320	15.8	1
GEMCITABINE	LAPATINIB	COLO320	5.29	0
GEMCITABINE	SORAFENIB	COLO320	-0.405	4
GEMCITABINE	SUNITINIB	COLO320	5.0725	1
LAPATINIB	BORTEZOMIB	COLO320	22.55	0
LAPATINIB	DASATINIB	COLO320	7.475	3
LAPATINIB	ERLOTINIB	COLO320	0.9425	2
LAPATINIB	GELDANAMYCIN	COLO320	12.2875	0
LAPATINIB	SORAFENIB	COLO320	3.265	0
LAPATINIB	TOPOTECAN	COLO320	-1.9275	1
METFORMIN	BORTEZOMIB	COLO320	4.1925	4
METFORMIN	DASATINIB	COLO320	3.7875	1
METFORMIN	ERLOTINIB	COLO320	3.35	3
METFORMIN	GELDANAMYCIN	COLO320	1.8425	3
METFORMIN	LAPATINIB	COLO320	7.1575	1
METFORMIN	SORAFENIB	COLO320	2.8025	2
METFORMIN	SUNITINIB	COLO320	10.225	3
METHOTREXATE	BORTEZOMIB	COLO320	4.5225	0
METHOTREXATE	DASATINIB	COLO320	2.3075	1
METHOTREXATE	ERLOTINIB	COLO320	1.3725	3
METHOTREXATE	GELDANAMYCIN	COLO320	1.78	0
METHOTREXATE	LAPATINIB	COLO320	2.4075	2
METHOTREXATE	SORAFENIB	COLO320	-1.535	0
METHOTREXATE	SUNITINIB	COLO320	-0.5325	3
PACLITAXEL	BORTEZOMIB	COLO320	14.225	1
PACLITAXEL	DASATINIB	COLO320	3.3375	4
PACLITAXEL	ERLOTINIB	COLO320	7.965	4
PACLITAXEL	GELDANAMYCIN	COLO320	2.1225	4
PACLITAXEL	LAPATINIB	COLO320	20.705	2
PACLITAXEL	SORAFENIB	COLO320	1.58	4
PACLITAXEL	SUNITINIB	COLO320	13.355	4
SUNITINIB	BORTEZOMIB	COLO320	16.0825	3
SUNITINIB	DASATINIB	COLO320	14.695	3
SUNITINIB	ERLOTINIB	COLO320	8.54	0
SUNITINIB	GELDANAMYCIN	COLO320	10.8475	0
SUNITINIB	LAPATINIB	COLO320	12.0325	1
SUNITINIB	SORAFENIB	COLO320	3.6725	2
SUNITINIB	TOPOTECAN	COLO320	1.8975	4
TOPOTECAN	SORAFENIB	COLO320	-1.375	0
VINBLASTINE	BORTEZOMIB	COLO320	15.525	1
VINBLASTINE	DASATINIB	COLO320	3.735	0
VINBLASTINE	ERLOTINIB	COLO320	10.7275	4
VINBLASTINE	GELDANAMYCIN	COLO320	2.0325	0
VINBLASTINE	LAPATINIB	COLO320	7.4575	0
VINBLASTINE	SORAFENIB	COLO320	5.105	2
VINBLASTINE	SUNITINIB	COLO320	15.1925	1
VINORELBINE	BORTEZOMIB	COLO320	15.7075	2
VINORELBINE	DASATINIB	COLO320	4.5975	4
VINORELBINE	ERLOTINIB	COLO320	14.045	0
VINORELBINE	GELDANAMYCIN	COLO320	2.27	3
VINORELBINE	LAPATINIB	COLO320	16.5475	3
VINORELBINE	SORAFENIB	COLO320	4.775	1
